time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr 
3068.0,0.11920859664678574,0.11853843182325363,0.12949444353580475,0.0903438851237297,0.037833139300346375,0.0029145146254450083,0.010849712416529655,5.003756541555049e-06,0.0683375746011734,0.0011941713746637106,0.016281848773360252
3069.0,0.12248791754245758,0.12373382598161697,0.12385564297437668,0.08126211166381836,0.03767525404691696,0.002734221052378416,0.01140989176928997,4.173552952124737e-06,0.07137521356344223,0.0011191064259037375,0.01615830510854721
3070.0,0.1207759827375412,0.13938289880752563,0.11470671743154526,0.0773589015007019,0.04281517490744591,0.0030168963130563498,0.010585324838757515,4.294268364901654e-06,0.08039022237062454,0.001047818223014474,0.015868008136749268
3071.0,0.1378345936536789,0.13231448829174042,0.11528920382261276,0.08473332971334457,0.03787193447351456,0.00265723979100585,0.009537555277347565,4.468893621378811e-06,0.07201270759105682,0.001032821019180119,0.015883497893810272
3072.0,0.11723516881465912,0.11753006279468536,0.1210002675652504,0.0819283127784729,0.04009776934981346,0.002787106204777956,0.01142249908298254,4.987191005056957e-06,0.07077077776193619,0.0008759818156249821,0.015333999879658222
3073.0,0.1149754747748375,0.11356481909751892,0.09943637251853943,0.0771443322300911,0.03469664603471756,0.002856243634596467,0.010059771127998829,4.4034168240614235e-06,0.07056573033332825,0.0010241990676149726,0.013907560147345066
3074.0,0.14150379598140717,0.13348940014839172,0.12443427741527557,0.07262539118528366,0.04189600050449371,0.0029560013208538294,0.01138586550951004,4.999426437279908e-06,0.0684698075056076,0.0010887327371165156,0.016105864197015762
3075.0,0.12406343221664429,0.1139046847820282,0.11416125297546387,0.08505009114742279,0.03689632937312126,0.002763936761766672,0.009968279860913754,4.573624664772069e-06,0.07806842774152756,0.0010348190553486347,0.01624458283185959
3076.0,0.12615036964416504,0.12475545704364777,0.11062201857566833,0.0814637765288353,0.04010077938437462,0.0030341290403157473,0.01053635310381651,4.3831660150317475e-06,0.08448106050491333,0.0009567852248437703,0.01718911901116371
3077.0,0.1303425282239914,0.11667008697986603,0.11907539516687393,0.08110246062278748,0.040857523679733276,0.003066121833398938,0.010462244972586632,4.15236263506813e-06,0.06738270074129105,0.0009434819221496582,0.016922999173402786
3078.0,0.1267685890197754,0.12162042409181595,0.1187405213713646,0.08743645995855331,0.04153142496943474,0.0027797757647931576,0.00874586496502161,4.517188699537655e-06,0.07083248347043991,0.0009051093948073685,0.016348667442798615
3079.0,0.12821106612682343,0.10358977317810059,0.1204775795340538,0.0912163257598877,0.04349405691027641,0.0030254011508077383,0.008897309191524982,4.004770744359121e-06,0.07258804887533188,0.0010252577485516667,0.01615792326629162
3080.0,0.12089049071073532,0.1019921749830246,0.11705368757247925,0.07858020067214966,0.03681042045354843,0.00307630212046206,0.009732568636536598,4.242143404553644e-06,0.07496863603591919,0.0010215291986241937,0.017249414697289467
3081.0,0.11465448141098022,0.10908512771129608,0.127924844622612,0.08745012432336807,0.03466328606009483,0.003080712165683508,0.008788659237325191,4.699613782577217e-06,0.06369958072900772,0.001043812371790409,0.014484737068414688
3082.0,0.13976970314979553,0.11519843339920044,0.12021613866090775,0.0858037918806076,0.04108334332704544,0.0030098685529083014,0.00979071855545044,4.4514526962302625e-06,0.07282977551221848,0.001078756176866591,0.01777559332549572
3083.0,0.11701063066720963,0.1237369030714035,0.1112518459558487,0.08856509625911713,0.040973421186208725,0.002925892360508442,0.010732177644968033,4.205095592624275e-06,0.07123281806707382,0.0010703906882554293,0.016353590413928032
3084.0,0.13382643461227417,0.10832137614488602,0.10451328754425049,0.09246733784675598,0.03860951587557793,0.0026545000728219748,0.009655841626226902,4.4718235585605726e-06,0.08236993104219437,0.0009986108634620905,0.017058003693819046
3085.0,0.13214446604251862,0.12901385128498077,0.11525289714336395,0.08036264032125473,0.03811070695519447,0.0029779248870909214,0.010358135215938091,4.250896381563507e-06,0.07256260514259338,0.001100692548789084,0.015101185999810696
3086.0,0.1474459171295166,0.11125865578651428,0.11212877184152603,0.08524808287620544,0.04458604007959366,0.00302180927246809,0.008976763114333153,4.826427357329521e-06,0.08011314272880554,0.0010565872071310878,0.01575009524822235
3087.0,0.1239534243941307,0.12383372336626053,0.11869845539331436,0.08637049794197083,0.04249504208564758,0.0028967298567295074,0.010133519768714905,4.664677817345364e-06,0.08830589056015015,0.0010324426693841815,0.014376751147210598
3088.0,0.12507443130016327,0.12227879464626312,0.12277721613645554,0.0797814279794693,0.03650450333952904,0.0027330182492733,0.009506194852292538,4.5464107643056195e-06,0.08018501847982407,0.000953603710513562,0.015645258128643036
3089.0,0.12862727046012878,0.10202973335981369,0.10893348604440689,0.08995695412158966,0.04450799524784088,0.0030214041471481323,0.009693683125078678,4.187517333775759e-06,0.07287074625492096,0.000907977984752506,0.017290670424699783
3090.0,0.1155170425772667,0.11108755320310593,0.12238072603940964,0.08434724062681198,0.03902003541588783,0.002849243814125657,0.007660636678338051,4.224097665428417e-06,0.07382912188768387,0.0009190394775941968,0.014253972098231316
3091.0,0.11693297326564789,0.1364183872938156,0.11798599362373352,0.08168912678956985,0.0445995070040226,0.0029784587677568197,0.009348459541797638,4.251721748005366e-06,0.07079238444566727,0.0011275757569819689,0.01690322905778885
3092.0,0.1320362091064453,0.11279036849737167,0.13382264971733093,0.08219365030527115,0.04222895950078964,0.0026914963964372873,0.007286223582923412,4.602376066031866e-06,0.07946877181529999,0.0009371641790494323,0.014926904812455177
3093.0,0.12238684296607971,0.11770901829004288,0.12126972526311874,0.07775646448135376,0.04127313569188118,0.003016836242750287,0.00858688447624445,4.264976723789005e-06,0.07276414334774017,0.0009966818615794182,0.015593810938298702
3094.0,0.13418647646903992,0.12307435274124146,0.10381905734539032,0.0798526257276535,0.037581972777843475,0.002800874412059784,0.008501790463924408,4.167144197708694e-06,0.07188212871551514,0.0011354953749105334,0.01692146435379982
3095.0,0.13551628589630127,0.12861353158950806,0.11198700964450836,0.08248117566108704,0.04290255904197693,0.003212768817320466,0.01074208877980709,4.463771347218426e-06,0.08187920600175858,0.0010735791875049472,0.018373211845755577
3096.0,0.12617282569408417,0.10905830562114716,0.11171533912420273,0.07688573747873306,0.03993324190378189,0.002780094277113676,0.008519102819263935,4.084534793946659e-06,0.07244884967803955,0.0010665773879736662,0.017217513173818588
3097.0,0.14704686403274536,0.11880028247833252,0.11540196090936661,0.08174613118171692,0.03737541660666466,0.0026970854960381985,0.009625834412872791,3.991307039541425e-06,0.07314635813236237,0.0011134432861581445,0.015202758833765984
3098.0,0.12532010674476624,0.11756813526153564,0.1131235882639885,0.07944164425134659,0.03930941969156265,0.0027171114925295115,0.008710356429219246,4.587531748256879e-06,0.06559047847986221,0.0009834333322942257,0.01725982129573822
3099.0,0.13808736205101013,0.12179704010486603,0.1091855987906456,0.08323238044977188,0.04139918461441994,0.0027339134830981493,0.009367557242512703,4.910184998152545e-06,0.08108741790056229,0.0009652937878854573,0.015004909597337246
3100.0,0.12124384939670563,0.11229250580072403,0.12881329655647278,0.08157715946435928,0.03774810582399368,0.003462444292381406,0.008978725410997868,4.594551683112513e-06,0.0731588751077652,0.0011662268079817295,0.015200839377939701
3101.0,0.14855071902275085,0.11144805699586868,0.12434054911136627,0.08823145180940628,0.0414370559155941,0.002983929356560111,0.00866137258708477,5.095087090012385e-06,0.07922504097223282,0.0009792153723537922,0.015203190967440605
3102.0,0.12491042912006378,0.09784206748008728,0.10813522338867188,0.08377747982740402,0.03684242442250252,0.0030011809431016445,0.009886662475764751,4.167854513070779e-06,0.07490263134241104,0.001002150704152882,0.01736217364668846
3103.0,0.12518562376499176,0.12246508151292801,0.12656912207603455,0.09198766946792603,0.0402902252972126,0.0029106850270181894,0.009620525874197483,4.519248705037171e-06,0.071525938808918,0.0010262728901579976,0.015760282054543495
3104.0,0.11662852764129639,0.13339932262897491,0.12913496792316437,0.08185511827468872,0.03991461172699928,0.0032302814070135355,0.009529070928692818,4.165003701928072e-06,0.07318976521492004,0.0010879894252866507,0.016029836609959602
3105.0,0.11495181918144226,0.1169649213552475,0.1062440425157547,0.08105078339576721,0.03670915961265564,0.0028014364652335644,0.008304313756525517,4.269022156222491e-06,0.07512377202510834,0.001161564257927239,0.017421336844563484
3106.0,0.12721632421016693,0.11077997088432312,0.11423759162425995,0.07742640376091003,0.038916200399398804,0.002882252214476466,0.009905240498483181,4.9181285248778295e-06,0.07719030231237411,0.0010732938535511494,0.016345391049981117
3107.0,0.13020658493041992,0.12388007342815399,0.12078791111707687,0.07868219166994095,0.04118603467941284,0.0026343376375734806,0.008605373091995716,4.212743078824133e-06,0.07230860739946365,0.0009741770336404443,0.014414092525839806
3108.0,0.1243954449892044,0.1266331970691681,0.12220440804958344,0.09144820272922516,0.04337213933467865,0.0036151644308120012,0.008420499041676521,4.31529861089075e-06,0.06861123442649841,0.0010267212055623531,0.016747277230024338
